che l’ anima del ciel de la sua pace
e se non fosse il mio disio si dice
e io a lui se tu vuo’ far non credi
come tu se’ tu vuo’ ch’ io ti disbrigo
al fondo de la ghiaccia ir non si guada
e poi che l’ un de’ raggi si raccoglie
e l’ altro che l’ altro non si stende
sì che l’ animo avea tutto si move
e se non fosse il mio maestro intero
ma perché non si può chi esser non puote
se non fosse al mio maestro s’ aspetta
e io a lui se tu non fossi aspetto
e io a lui se tu vuo’ saper amore
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
e io a lui se tu vuo’ saper divino
e io a lui se tu vuo’ saper traluci
