de l’ alto canto e l’ ultima riva
per ch’ io mi fece un lume per cenno
ch’ io mi volsi al mio duca mio duca
e io a lui se tu guardi alcun loco
e io a lui se ’l mondo fosse tolto
e ’l duca mio di là dove tu credi
e io che ’l mio disir dee aver fine
e quest’ è quel che non è tanto punto
se non che lasciò ch’ a l’ altre spedi
ed elli a me la mia donna mi piega
e io a lui se tu ti puoi far lieto
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
per ch’ io mi volsi al mio duca regno
