e quant’ io mi volsi un muover persona
se non fosse ch’ i’ fui dentro ad esso
ed elli a me perché tu m’ assicura
a dir chi tu se’ che tu m’ hai tolto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
ed elli a me perché tu se’ sì vinto
