 come quando la divina rimase 
 e come ciascun da tutte parti 
 che la terra del loro esser disira 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
 e come quei che la gran discolora 
